,value
Annual return,0.39474022209489923
Cumulative returns,4.896999202588892
Annual volatility,0.300577344911116
Sharpe ratio,1.2586234598966763
Calmar ratio,0.8748263093349652
Stability,0.8462392845977862
Max drawdown,-0.451221251444732
Omega ratio,1.2437251331684598
Sortino ratio,1.7752251739969223
Skew,-0.49237597705380126
Kurtosis,1.648130966256553
Tail ratio,0.8740661917094686
Daily value at risk,-0.03636794109000079
Alpha,0.27943265835629805
Beta,1.1114286090976913
