,value
Annual return,0.26380351213384756
Cumulative returns,2.4857077794582176
Annual volatility,0.22668943884424456
Sharpe ratio,1.1466527756164668
Calmar ratio,1.0930602901339064
Stability,0.8964481776497699
Max drawdown,-0.2413439720708636
Omega ratio,1.2383714105996244
Sortino ratio,1.693750232826941
Skew,-0.16046201078088682
Kurtosis,1.993530995295588
Tail ratio,1.0603749880550508
Daily value at risk,-0.027528700341532472
Alpha,0.21186309660254277
Beta,0.5710109801130723
