date,symbol,realized_forward_return,predicted_class,realized_class,score,class_0_prob,class_1_prob,class_2_prob,class_3_prob,class_4_prob,class_3_4_prob,target_weight
2021-01-04,VN:BVH,-0.030165912518853588,1,0.0,-0.3808934873076234,0.25125797834223573,0.32954474301502873,0.11909503879859928,0.1490372672963957,0.15106497254774057,0.30010223984413625,0.16666666666666666
2021-01-04,VN:CTR,0.2920723226703754,1,4.0,-0.3808934873076234,0.25125797834223573,0.32954474301502873,0.11909503879859928,0.1490372672963957,0.15106497254774057,0.30010223984413625,0.16666666666666666
2021-01-04,VN:HDC,-0.02894736842105261,1,1.0,-0.3808934873076234,0.25125797834223573,0.32954474301502873,0.11909503879859928,0.1490372672963957,0.15106497254774057,0.30010223984413625,0.16666666666666666
2021-01-04,VN:HDG,0.024108601363149962,1,2.0,-0.3808934873076234,0.25125797834223573,0.32954474301502873,0.11909503879859928,0.1490372672963957,0.15106497254774057,0.30010223984413625,0.16666666666666666
2021-01-04,VN:KBC,0.4252873563218391,1,4.0,-0.3808934873076234,0.25125797834223573,0.32954474301502873,0.11909503879859928,0.1490372672963957,0.15106497254774057,0.30010223984413625,0.16666666666666666
2021-01-04,VN:SIP,0.10085933966530991,1,3.0,-0.3808934873076234,0.25125797834223573,0.32954474301502873,0.11909503879859928,0.1490372672963957,0.15106497254774057,0.30010223984413625,0.16666666666666666
2021-01-14,VN:DGW,-0.1337306761035575,1,0.0,-0.40095863343713634,0.26941085263208825,0.3111950503467776,0.11289400030514599,0.16394207125815854,0.1425580254578296,0.30650009671598816,0.16666666666666666
2021-01-14,VN:HSG,-0.12176571471180364,1,0.0,-0.40095863343713634,0.26941085263208825,0.3111950503467776,0.11289400030514599,0.16394207125815854,0.1425580254578296,0.30650009671598816,0.16666666666666666
2021-01-14,VN:LPB,-0.166751398068124,1,0.0,-0.40095863343713634,0.26941085263208825,0.3111950503467776,0.11289400030514599,0.16394207125815854,0.1425580254578296,0.30650009671598816,0.16666666666666666
2021-01-14,VN:VIX,-0.08756510416666674,1,0.0,-0.40095863343713634,0.26941085263208825,0.3111950503467776,0.11289400030514599,0.16394207125815854,0.1425580254578296,0.30650009671598816,0.16666666666666666
2021-01-14,VN:HCM,-0.2556154164939909,1,0.0,-0.3998037457451503,0.26918876371673317,0.3109385096351691,0.11280093426109056,0.16463129345052907,0.14244049893647803,0.3070717923870071,0.16666666666666666
2021-01-14,VN:VPB,-0.15762668703845184,1,0.0,-0.3998037457451503,0.26918876371673317,0.3109385096351691,0.11280093426109056,0.16463129345052907,0.14244049893647803,0.3070717923870071,0.16666666666666666
2021-01-26,VN:NKG,-0.07647058823529407,0,0.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358,0.16666666666666666
2021-01-26,VN:VIX,0.054464433074764784,0,2.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358,0.16666666666666666
2021-01-26,VN:HDC,0.1130653266331656,0,3.0,-0.4472604758629274,0.2965929850428251,0.2920134707095246,0.10990674957494065,0.16503462441317177,0.13645217025953785,0.3014867946727096,0.16666666666666666
2021-01-26,VN:PTB,0.024861878453038555,0,1.0,-0.43884754180908203,0.29464438557624817,0.2900949716567993,0.1102801263332367,0.16942483186721802,0.1355556845664978,0.3049805164337158,0.16666666666666666
2021-02-05,VN:SJS,0.12569832402234637,0,4.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358,0.16666666666666666
2021-02-05,VN:VIX,0.35380989787902606,0,4.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358,0.16666666666666666
2021-02-05,VN:VPB,0.10130856901646257,0,3.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358,0.16666666666666666
2021-02-05,VN:VIB,0.23173963744301918,0,4.0,-0.4472604758629274,0.2965929850428251,0.2920134707095246,0.10990674957494065,0.16503462441317177,0.13645217025953785,0.3014867946727096,0.16666666666666666
2021-02-24,VN:DGW,0.2638171629491264,0,4.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358,0.16666666666666666
2021-02-24,VN:HDC,0.08333333333333326,0,3.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358,0.16666666666666666
2021-02-24,VN:HSG,0.10374323731539681,0,3.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358,0.16666666666666666
2021-02-24,VN:NKG,0.3374233128834354,0,4.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358,0.16666666666666666
2021-02-24,VN:VIX,0.2789537548874208,0,4.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358,0.16666666666666666
2021-02-24,VN:VPB,0.12093791801085851,0,3.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358,0.16666666666666666
2021-03-08,VN:DCM,0.014925373134328401,0,1.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358,0.16666666666666666
2021-03-08,VN:HDC,-0.006849315068493178,0,1.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358,0.16666666666666666
2021-03-08,VN:HDG,-0.018063583815028927,0,0.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358,0.16666666666666666
2021-03-08,VN:HSG,-0.060666882486241525,0,0.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358,0.16666666666666666
2021-03-08,VN:LPB,0.018961765620143067,0,1.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358,0.16666666666666666
2021-03-08,VN:NKG,0.002309468822170979,0,1.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358,0.16666666666666666
2021-03-18,VN:CTS,0.02034883720930236,0,1.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358,0.16666666666666666
2021-03-18,VN:DCM,0.028653295128939993,0,1.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358,0.16666666666666666
2021-03-18,VN:HDG,-0.07624491377639986,0,0.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358,0.16666666666666666
2021-03-18,VN:HSG,0.00520663846404168,0,1.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358,0.16666666666666666
2021-03-18,VN:LPB,0.08294654888456354,0,3.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358,0.16666666666666666
2021-03-18,VN:VCI,0.03249678249678256,0,1.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358,0.16666666666666666
2021-03-30,VN:LPB,0.07222457328255039,0,3.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358,0.16666666666666666
2021-03-30,VN:SHB,0.10643591130340724,0,3.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358,0.16666666666666666
2021-03-30,VN:VCI,0.012368484459079676,0,1.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358,0.16666666666666666
