,value
Annual return,0.40667851821699785
Cumulative returns,5.171241775992524
Annual volatility,0.22806882202524636
Sharpe ratio,1.6113588181182756
Calmar ratio,1.3014648256867403
Stability,0.8080786745614565
Max drawdown,-0.3124775331537731
Omega ratio,1.3262244009443742
Sortino ratio,2.373089935438325
Skew,-0.310565020274491
Kurtosis,1.4822529737707946
Tail ratio,1.0581740881239812
Daily value at risk,-0.027275634567963492
Alpha,0.34070182376150693
Beta,0.6252849490954197
