prediction_date,execution_date,symbol,target_weight,realized_forward_return,predicted_class,realized_class,score,score_prob,class_0_prob,class_1_prob,class_2_prob,class_3_prob,class_4_prob,class_3_4_prob
2021-01-04,2021-01-05,VN:DXG,0.25,0.06707317073170738,4,4.0,0.2760841047472067,0.11011962269176342,0.23869125722863715,0.2125792370183709,0.1498669099052765,0.1152709656601471,0.2835916301875683,0.3988625958477154
2021-01-04,2021-01-05,VN:PVD,0.25,0.2341040462427746,4,4.0,0.2760642414991874,0.11010378526902258,0.23867410599197525,0.2125639633280334,0.14992800466662648,0.1152626806144616,0.2835712453989032,0.3988339260133648
2021-01-04,2021-01-05,VN:HCM,0.25,-0.03129085679421251,4,0.0,0.27127941899954844,0.10712086240827426,0.2402754741927644,0.2139901385753612,0.1508615922246992,0.10939893953054353,0.2854738554766316,0.39487279500717515
2021-01-14,2021-01-15,VN:EVF,0.25,-0.25233644859813087,4,0.0,0.4053774415645384,0.17243415248879837,0.2369224691849579,0.19408385166400893,0.1436267622764891,0.10139725951258452,0.32396965736195954,0.4253669168745441
2021-01-14,2021-01-15,VN:LPB,0.25,-0.166751398068124,4,0.0,0.4045980065375863,0.171797841674252,0.23723303918193223,0.19433825918528053,0.14381503844536783,0.10021932273776349,0.3243943404496559,0.42461366318741944
2021-01-14,2021-01-15,VN:FTS,0.25,-0.20960698689956336,4,0.0,0.37450469006221976,0.1567412606528728,0.23974154710962214,0.19639320525234039,0.14533574770885893,0.10260375512686554,0.31592574480231295,0.4185294999291785
2021-01-26,2021-01-27,VN:NKG,0.25,-0.07647058823529407,4,0.0,0.3223397782270627,0.1309632456956981,0.2574020008936375,0.1862404034566849,0.1500681627536702,0.09774205760849969,0.30854737528750764,0.40628943289600733
2021-01-26,2021-01-27,VN:DXG,0.25,0.1045454545454545,4,4.0,0.3184238276003015,0.1290350411017085,0.25649410295118313,0.18873655655431332,0.14953885861084715,0.09777142779699394,0.3074590540866624,0.40523048188365635
2021-01-26,2021-01-27,VN:HDG,0.25,-0.02243192235103808,4,0.0,0.31282459153587955,0.12622769427155237,0.2554047760830397,0.19218196404386975,0.1489037606620139,0.09735619494370062,0.306153304267376,0.40350949921107665
2021-02-05,2021-02-08,VN:DXG,0.25,0.02666666666666684,4,2.0,0.310836523771286,0.12488908251760522,0.2561436891555786,0.19273795187473297,0.14933454990386963,0.09474478662014008,0.3070390224456787,0.4017838090658188
