date,ml_factor_classifier,VN:VNINDEX
2021-01-04 00:00:00+00:00,0.0,0.015038002663357197
2021-01-05 00:00:00+00:00,-0.0015974440894567967,0.01078119003632394
2021-01-06 00:00:00+00:00,-0.005671217001032963,0.00941238797404087
2021-01-07 00:00:00+00:00,0.01970568297586308,0.011616413432352646
2021-01-08 00:00:00+00:00,0.017764992391753574,0.009684476303297052
2021-01-11 00:00:00+00:00,0.025338875892866795,0.014729936883933314
2021-01-12 00:00:00+00:00,0.012586588464305966,0.006236865869405417
2021-01-13 00:00:00+00:00,0.005033051593978994,-0.005225282651726171
2021-01-14 00:00:00+00:00,-0.0032307853168595437,0.0011382319463766333
2021-01-15 00:00:00+00:00,0.01582951612991764,0.005726798046151282
2021-01-18 00:00:00+00:00,0.02509943173071974,-0.0018924803215542019
2021-01-19 00:00:00+00:00,-0.045940881465018124,-0.0511267345671762
2021-01-20 00:00:00+00:00,0.009793468160667613,0.0032537577365163717
2021-01-21 00:00:00+00:00,0.024004398248797798,0.026024958578630075
2021-01-22 00:00:00+00:00,0.014805768789295166,0.002207505518763808
2021-01-25 00:00:00+00:00,0.0008063826496032817,-0.0006256535079449677
2021-01-26 00:00:00+00:00,-0.03750834203332385,-0.02566785300801855
2021-01-27 00:00:00+00:00,-0.06031940883469325,-0.034283350350314934
2021-01-28 00:00:00+00:00,-0.07021519195406518,-0.0667444425203022
2021-01-29 00:00:00+00:00,0.04598518002947045,0.031906166376935996
2021-02-01 00:00:00+00:00,-0.03703532867387719,-0.019969525179583725
2021-02-02 00:00:00+00:00,0.028648736536536403,0.038647622910449986
2021-02-03 00:00:00+00:00,0.05238807656882364,0.033248723884968356
2021-02-04 00:00:00+00:00,0.0009496450185965658,0.0008098696109926085
2021-02-05 00:00:00+00:00,0.015586521460011691,0.013235148670640795
2021-02-08 00:00:00+00:00,-0.030672809149895886,-0.03880522845657597
2021-02-09 00:00:00+00:00,0.017373762765332857,0.029311841060580823
2021-02-17 00:00:00+00:00,0.03738276073440117,0.036639071511215926
2021-02-18 00:00:00+00:00,0.021664584671937794,0.01609302808492985
2021-02-19 00:00:00+00:00,0.010458423226120733,-0.0007493315621861507
2021-02-22 00:00:00+00:00,-0.0013908303043143337,0.0013123135918193807
2021-02-23 00:00:00+00:00,-0.010471447616978252,0.0022126906318082895
2021-02-24 00:00:00+00:00,-0.014633814625064067,-0.013272307326517518
2021-02-25 00:00:00+00:00,-0.0004620688465006298,0.002943176048398888
2021-02-26 00:00:00+00:00,0.002924047886558768,0.002608479273744413
2021-03-01 00:00:00+00:00,0.02381902238998432,0.015148014069680915
2021-03-02 00:00:00+00:00,-0.002287451326054566,0.0003709417705723972
2021-03-03 00:00:00+00:00,-0.004810218538672276,0.00028653053657068384
2021-03-04 00:00:00+00:00,-0.01348620644143814,-0.01552719154134552
2021-03-05 00:00:00+00:00,0.017760540790285537,0.0001454831752987218
2021-03-08 00:00:00+00:00,0.010859205598508255,-0.0003593767380571933
2021-03-09 00:00:00+00:00,0.013697750241512345,-0.00539258904191664
2021-03-10 00:00:00+00:00,-0.013388192439256983,0.006979526149556214
2021-03-11 00:00:00+00:00,0.007570143768428228,0.009956584165185411
2021-03-12 00:00:00+00:00,0.018163903854283063,-0.00014385688778317807
2021-03-15 00:00:00+00:00,0.02475824989780994,0.002539016215850287
2021-03-16 00:00:00+00:00,-0.004755832793612267,-0.003933950158708566
2021-03-17 00:00:00+00:00,0.01133994490269445,0.005246207305703798
2021-03-18 00:00:00+00:00,-0.010210675519982526,0.012520129163891447
2021-03-19 00:00:00+00:00,-0.011342972445952771,-0.005737172548170633
2021-03-22 00:00:00+00:00,0.0015512098081251343,0.00031824462962193323
2021-03-23 00:00:00+00:00,-0.01741492616436526,-0.009192669306698598
2021-03-24 00:00:00+00:00,-0.01374084972997329,-0.01828552114580262
2021-03-25 00:00:00+00:00,-0.010814717205907324,0.0011103364577684793
2021-03-26 00:00:00+00:00,-0.0015223983139423787,-0.00076519645774209
2021-03-29 00:00:00+00:00,0.02543641148931356,0.0115899880400272
2021-03-30 00:00:00+00:00,0.01927402885937561,0.009084104518236158
2021-03-31 00:00:00+00:00,0.01087017337491882,0.004282005462085792
2021-04-01 00:00:00+00:00,0.011785486581127744,0.020697643188074766
2021-04-02 00:00:00+00:00,0.0003704815755316734,0.006866211660225385
2021-04-05 00:00:00+00:00,0.002910859093421842,0.009473641226673157
2021-04-06 00:00:00+00:00,-0.006425100172025413,0.003163302455402306
2021-04-07 00:00:00+00:00,0.0051300530539320705,0.0019516758605115925
2021-04-08 00:00:00+00:00,0.010390418325694064,-0.006028751267728061
2021-04-09 00:00:00+00:00,0.008547291208920527,-0.0026156175853719876
2021-04-12 00:00:00+00:00,0.013645776864843358,0.01687965834727123
2021-04-13 00:00:00+00:00,-0.011908958074059084,-0.003289552477144908
2021-04-14 00:00:00+00:00,0.0006868303676649346,0.006040069532895931
2021-04-15 00:00:00+00:00,0.0027906339419366925,-0.006863767746661642
2021-04-16 00:00:00+00:00,0.00014270406947815918,-0.006847063539787479
2021-04-19 00:00:00+00:00,0.020861394914986738,0.017655464152222855
2021-04-20 00:00:00+00:00,0.00573062174536773,0.0061082993542656006
2021-04-22 00:00:00+00:00,-0.035133564368635725,-0.03190147286088252
2021-04-23 00:00:00+00:00,0.02786587438497403,0.016867293251453752
2021-04-26 00:00:00+00:00,-0.015262821624176142,-0.026238856895709373
2021-04-27 00:00:00+00:00,0.006035440039912489,0.0032736455086077587
2021-04-28 00:00:00+00:00,0.0076705779565953746,0.008034433285509346
2021-04-29 00:00:00+00:00,0.0023716603487566367,0.008002927900451429
2021-05-04 00:00:00+00:00,0.008779760508576297,0.0022672443702143052
2021-05-05 00:00:00+00:00,1.0672266740476243e-05,0.011455482208984069
2021-05-06 00:00:00+00:00,0.004220761753675577,-0.004664008341093484
2021-05-07 00:00:00+00:00,0.007238055822066692,-0.00700480580855134
2021-05-10 00:00:00+00:00,0.043157141193933796,0.014309757531345335
2021-05-11 00:00:00+00:00,-0.01856485672264809,-0.0028104606297336687
2021-05-12 00:00:00+00:00,0.01554155164261683,0.010389796503295967
2021-05-13 00:00:00+00:00,0.00030378970185191383,-0.0055945598814898245
2021-05-14 00:00:00+00:00,-0.010635975846685897,0.003462784966600241
2021-05-17 00:00:00+00:00,-0.004651506346083429,-0.006048832875327648
2021-05-18 00:00:00+00:00,0.01568555964648482,-0.004782712322237259
2021-05-19 00:00:00+00:00,0.015533790994713364,0.007831209886004276
2021-05-20 00:00:00+00:00,0.0011270024176284839,0.012459504629739548
2021-05-21 00:00:00+00:00,-0.0015935509446716224,0.0044671496299542035
2021-05-24 00:00:00+00:00,-0.006297921793054276,0.01094296418029006
2021-05-25 00:00:00+00:00,0.03147357088725654,0.008166535693924226
2021-05-26 00:00:00+00:00,0.015979209297299426,0.0062051995292609075
2021-05-27 00:00:00+00:00,0.01139054707016811,-0.009971899445583743
2021-05-28 00:00:00+00:00,0.030447622670761537,0.012956726527919571
2021-05-31 00:00:00+00:00,0.04730066286451699,0.005747996910167696
2021-06-01 00:00:00+00:00,-0.007947676137587253,0.007326531380595691
2021-06-02 00:00:00+00:00,0.004749426092590512,0.0022425211918253307
2021-06-03 00:00:00+00:00,0.022417170620615014,0.017527111084592484
2021-06-04 00:00:00+00:00,0.012902100106607462,0.007161286539419942
2021-06-07 00:00:00+00:00,-0.02861683404995962,-0.011113132709872242
2021-06-08 00:00:00+00:00,-0.05473068751838835,-0.028628622735100473
2021-06-09 00:00:00+00:00,0.0193522268898158,0.009864533139376297
2021-06-10 00:00:00+00:00,-0.015404520351821587,-0.006992272488558937
2021-06-11 00:00:00+00:00,0.024687989373070752,0.021275631242539284
