,value
Start Index,2018-01-02 00:00:00
End Index,2026-05-29 00:00:00
Total Duration,2096 days 00:00:00
Start Value,100000000.0
Min Value,90652990.31113991
Max Value,520061039.26225764
End Value,430498741.9404652
Total Return [%],330.4987419404652
Benchmark Return [%],243.9368586240557
Position Coverage [%],64.07442748091603
Max Gross Exposure [%],100.0
Max Drawdown [%],39.541766719684375
Max Drawdown Duration,358 days 00:00:00
Total Orders,467
Total Fees Paid,33134040.31678188
Total Trades,234
Win Rate [%],58.36909871244635
Best Trade [%],143.21251976867694
Worst Trade [%],-46.2815859030837
Avg Winning Trade [%],13.659429597405795
Avg Losing Trade [%],-9.061577659551736
Avg Winning Trade Duration,23 days 05:38:49.411764705
Avg Losing Trade Duration,14 days 22:16:04.948453608
Profit Factor,1.8191577065133313
Expectancy,1430677.4381090063
Sharpe Ratio,1.1038993998911828
Calmar Ratio,0.7319817503538356
Omega Ratio,1.2247870595326604
Sortino Ratio,1.5556619489271208
