,value
Annual return,0.26240761473887075
Cumulative returns,2.4652233273714614
Annual volatility,0.20855912809072386
Sharpe ratio,1.2224764373396246
Calmar ratio,0.6368322085378147
Stability,0.7014528050482065
Max drawdown,-0.41205141828703395
Omega ratio,1.274639027624737
Sortino ratio,1.747342500279667
Skew,-0.5440079061259155
Kurtosis,6.173444488439555
Tail ratio,1.2048311961601972
Daily value at risk,-0.025264239758266825
Alpha,0.20188484330454926
Beta,0.5988321472360948
