prediction_date,execution_date,symbol,target_weight,realized_forward_return,predicted_class,realized_class,score,class_0_prob,class_1_prob,class_2_prob,class_3_prob,class_4_prob,class_3_4_prob
2021-01-04,2021-01-05,VN:PVD,0.25,0.2341040462427746,4,4.0,0.30131510798082073,0.22781579875397082,0.2064956637172599,0.16282226630515653,0.122578222232408,0.28028804899120474,0.40286627122361274
2021-01-04,2021-01-05,VN:LPB,0.25,0.0908564814814814,4,4.0,0.32000155776735645,0.22459372376068554,0.21389728306463474,0.15866997483365294,0.11271538333485909,0.2901236350061677,0.4028390183410268
2021-01-04,2021-01-05,VN:HCM,0.25,-0.03129085679421251,4,1.0,0.298167422413826,0.2294582575559616,0.20798440277576447,0.16210663318634033,0.11814188957214355,0.28230881690979004,0.4004507064819336
2021-01-14,2021-01-15,VN:EVF,0.25,-0.25233644859813087,4,0.0,0.5382773188348207,0.21267935252752504,0.18132683090334994,0.1484776514719692,0.11379282024912343,0.3437233448480324,0.45751616509715587
2021-01-14,2021-01-15,VN:LPB,0.25,-0.166751398068124,4,0.0,0.5334465766954912,0.21287012258820326,0.18369777637494933,0.1486108314142438,0.11078960531048182,0.34403166431212173,0.45482126962260355
2021-01-14,2021-01-15,VN:FTS,0.25,-0.20960698689956336,4,0.0,0.4454092424704936,0.22105593814659164,0.1884685591722387,0.1543255883878053,0.11623003247208868,0.3199198818212756,0.4361499142933643
2021-01-26,2021-01-27,VN:NKG,0.25,-0.07647058823529407,4,0.0,0.4740548612338646,0.2141572731917487,0.19170536529359292,0.15283151312540874,0.11492138612839697,0.32638446226085266,0.44130584838924963
2021-01-26,2021-01-27,VN:DXG,0.25,0.1045454545454545,4,4.0,0.4531124111960622,0.21111466462421413,0.20318910933708645,0.15066017547235286,0.11328865095873142,0.32174739960761517,0.4350360505663466
2021-01-26,2021-01-27,VN:HDC,0.25,0.1130653266331656,4,4.0,0.4531124111960622,0.21111466462421413,0.20318910933708645,0.15066017547235286,0.11328865095873142,0.32174739960761517,0.4350360505663466
2021-02-05,2021-02-08,VN:SJS,0.25,0.12569832402234637,4,4.0,0.43980221688305327,0.21696441360483498,0.1942181928653611,0.15483479547876408,0.11699927859751758,0.31698331945352226,0.43398259805103984
2021-02-05,2021-02-08,VN:DXG,0.25,0.02666666666666684,4,2.0,0.45208872854709625,0.2115098088979721,0.2035694420337677,0.15094217658042908,0.11162896454334259,0.3223496079444885,0.4339785724878311
2021-02-05,2021-02-08,VN:VIB,0.25,0.23173963744301918,4,4.0,0.4389491021241658,0.21646962376198262,0.2044332997662313,0.14675506006013825,0.11035219991029054,0.3219898165013573,0.4323420164116478
2021-02-24,2021-02-25,VN:VIB,0.25,0.161850290989364,4,4.0,0.5042397938984617,0.21787594421115475,0.18527922172307387,0.1477084617891048,0.11106910639307727,0.33806726588358926,0.44913637227666653
2021-02-24,2021-02-25,VN:DGW,0.25,0.2638171629491264,4,4.0,0.47959843277931213,0.20128118991851807,0.2112712562084198,0.14934054017066956,0.11044448614120483,0.32766252756118774,0.4381070137023926
2021-02-24,2021-02-25,VN:HSG,0.25,0.10374323731539681,4,4.0,0.47959843277931213,0.20128118991851807,0.2112712562084198,0.14934054017066956,0.11044448614120483,0.32766252756118774,0.4381070137023926
2021-03-08,2021-03-09,VN:DCM,0.25,0.014925373134328401,4,2.0,0.5042397938984617,0.21787594421115475,0.18527922172307387,0.1477084617891048,0.11106910639307727,0.33806726588358926,0.44913637227666653
2021-03-08,2021-03-09,VN:HSG,0.25,-0.060666882486241525,4,0.0,0.4870622903108597,0.20718826353549957,0.1971137523651123,0.15372329950332642,0.113685742020607,0.3282889425754547,0.4419746845960617
2021-03-08,2021-03-09,VN:LPB,0.25,0.018961765620143067,4,2.0,0.46664747297806725,0.2085592253083164,0.20597584085220455,0.1488365199676934,0.11007173858422625,0.32655667528755944,0.4366284138717857
