prediction_date,execution_date,symbol,target_weight,realized_forward_return,predicted_class,realized_class,score,class_0_prob,class_1_prob,class_2_prob,class_3_prob,class_4_prob,class_3_4_prob
2021-01-04,2021-01-05,VN:VCI,0.2,-0.013290756882713417,1,1.0,-0.08626202981883196,0.12167460853831147,0.3605185043657272,0.14733027972786786,0.2233475231126689,0.14712908425542462,0.3704766073680935
2021-01-04,2021-01-05,VN:EVF,0.2,0.04123711340206171,1,3.0,-0.091604497596454,0.12383719072352384,0.35323561902211537,0.1577785999410376,0.22099167775393733,0.14415691255938587,0.3651485903133232
2021-01-04,2021-01-05,VN:SZC,0.2,0.10233918128654973,1,3.0,-0.091604497596454,0.12383719072352384,0.35323561902211537,0.1577785999410376,0.22099167775393733,0.14415691255938587,0.3651485903133232
2021-01-04,2021-01-05,VN:ANV,0.2,-0.08183632734530932,1,0.0,-0.09285098314285278,0.12552227079868317,0.3580421805381775,0.14631830155849457,0.2239987552165985,0.14611849188804626,0.3701172471046448
2021-01-04,2021-01-05,VN:DXG,0.2,0.06707317073170738,1,3.0,-0.09285098314285278,0.12552227079868317,0.3580421805381775,0.14631830155849457,0.2239987552165985,0.14611849188804626,0.3701172471046448
2021-01-14,2021-01-15,VN:FTS,0.2,-0.20960698689956336,1,0.0,-0.09109758112125338,0.13104731235049105,0.34845338310162377,0.14797141098890934,0.22560536043659926,0.1469225331223766,0.37252789355897586
2021-01-14,2021-01-15,VN:VIX,0.2,-0.08756510416666674,1,0.0,-0.09109758112125338,0.13104731235049105,0.34845338310162377,0.14797141098890934,0.22560536043659926,0.1469225331223766,0.37252789355897586
2021-01-14,2021-01-15,VN:DGW,0.2,-0.1337306761035575,1,0.0,-0.09989331811507518,0.12977913215427297,0.3547585957461386,0.14653945187538045,0.2234220985088065,0.14550072171540143,0.36892282022420797
2021-01-14,2021-01-15,VN:EVF,0.2,-0.25233644859813087,1,0.0,-0.09989331811507518,0.12977913215427297,0.3547585957461386,0.14653945187538045,0.2234220985088065,0.14550072171540143,0.36892282022420797
2021-01-14,2021-01-15,VN:LPB,0.2,-0.166751398068124,1,0.0,-0.1009439722125518,0.12962762100820038,0.3555118004461438,0.14636839090444406,0.2231613050324308,0.14533088260878096,0.3684921876412118
2021-01-26,2021-01-27,VN:DXG,0.2,0.1045454545454545,1,3.0,-0.054971856401628716,0.13164078600820364,0.335319086820524,0.14876595964583936,0.2249195326155633,0.15935463490986965,0.384274167525433
2021-01-26,2021-01-27,VN:PVT,0.2,0.005617977528090012,1,1.0,-0.07193899369057993,0.12927727786532872,0.34725285611310175,0.14609499711081378,0.22088131966833233,0.15649354924242345,0.3773748689107558
2021-01-26,2021-01-27,VN:HDC,0.2,0.1130653266331656,1,3.0,-0.07370671959400416,0.12903106789429789,0.34849612482619846,0.14581673499122566,0.2204606035557659,0.15619546873251208,0.376656072288278
2021-01-26,2021-01-27,VN:NKG,0.2,-0.07647058823529407,1,0.0,-0.07643058782174306,0.14122104434339636,0.33161964518398573,0.1471246906053321,0.2224380936855362,0.1575965261817496,0.3800346198672858
2021-01-26,2021-01-27,VN:BCM,0.2,0.03281760166221437,1,2.0,-0.08124539135030817,0.13039964243174132,0.3502676434775048,0.14736336250061746,0.2141171661895936,0.15785218540054283,0.37196935159013644
2021-02-05,2021-02-08,VN:HDC,0.2,0.05513784461152893,1,3.0,-0.09492649420876781,0.13035141320083776,0.3520622060317459,0.14730884573784012,0.222716531834499,0.14756100319507728,0.3702775350295763
2021-02-05,2021-02-08,VN:SJS,0.2,0.12569832402234637,1,4.0,-0.09492649420876781,0.13035141320083776,0.3520622060317459,0.14730884573784012,0.222716531834499,0.14756100319507728,0.3702775350295763
