prediction_date,execution_date,symbol,target_weight,realized_forward_return,predicted_class,realized_class,score,score_prob,class_0_prob,class_1_prob,class_2_prob,class_3_prob,class_4_prob,class_3_4_prob
2021-01-04,2021-01-05,VN:PVD,0.25,0.2341040462427746,4,4.0,0.28138082148702176,0.11267909173338032,0.2394962793513578,0.2096431435591451,0.1504100732566427,0.11566749387484035,0.28478300995801403,0.4004505038328544
2021-01-04,2021-01-05,VN:VPB,0.25,0.0,4,1.0,0.2818203503435955,0.11219290840085665,0.24208991951018333,0.20783477150901472,0.15197450375480961,0.11023372740250013,0.28786707782349225,0.3981008052259924
2021-01-04,2021-01-05,VN:BSI,0.25,0.13533834586466176,4,4.0,0.2769155324654455,0.1098184654317809,0.24116355772452214,0.21086596657090015,0.15139299067135936,0.10981192030713259,0.2867655647260858,0.3965774850332184
2021-01-14,2021-01-15,VN:EVF,0.25,-0.25233644859813087,4,0.0,0.4106495695706361,0.1752926255412786,0.23733479315045758,0.19158269893190336,0.144215810542162,0.10184911866148827,0.3250175787139888,0.42686669737547706
2021-01-14,2021-01-15,VN:LPB,0.25,-0.166751398068124,4,0.0,0.4098835543534425,0.17466030446987155,0.23764327345522696,0.19183170938366434,0.1444032501012329,0.1006817452660333,0.32544002179384246,0.42612176705987576
2021-01-14,2021-01-15,VN:FTS,0.25,-0.20960698689956336,4,0.0,0.3796391636133194,0.15944950161041516,0.24017713963985443,0.19387713074684143,0.14594295620918274,0.10306887328624725,0.31693390011787415,0.4200027734041214
2021-01-26,2021-01-27,VN:NKG,0.25,-0.07647058823529407,4,0.0,0.3238736886363281,0.1317853315003287,0.25714433576381707,0.18602471330798734,0.1499274693418662,0.09826168564351925,0.3086417959428101,0.4069034815863294
2021-01-26,2021-01-27,VN:DXG,0.25,0.1045454545454545,4,4.0,0.3199619802841102,0.12985527017025458,0.2562385740226826,0.188516120869306,0.1493993666157268,0.09829128313903623,0.3075546553532484,0.4058459384922846
2021-01-26,2021-01-27,VN:HDG,0.25,-0.02243192235103808,4,0.0,0.3143268576687064,0.1270236721978759,0.25514468360584464,0.19198042011275573,0.14876156934528373,0.0978716679075981,0.30624165902851774,0.40411332693611585
2021-02-05,2021-02-08,VN:DXG,0.25,0.02666666666666684,4,2.0,0.3123157718205136,0.12566511534387487,0.2558930237285273,0.19254350805687537,0.14919789246617177,0.09522569995541647,0.30713987579300905,0.4023655757484255
2021-02-05,2021-02-08,VN:VIB,0.25,0.23173963744301918,4,4.0,0.29127809405326843,0.11569933621278139,0.25112348794937134,0.20220932364463806,0.14945456385612488,0.097951740026474,0.2992608845233917,0.3972126245498657
2021-02-05,2021-02-08,VN:NKG,0.25,0.2402597402597404,4,4.0,0.2448840717572885,0.09523318547182268,0.26307729474627883,0.19464514094543028,0.15338667079925547,0.10049443916591494,0.2883964543431205,0.38889089350903544
2021-02-24,2021-02-25,VN:VIB,0.25,0.161850290989364,4,4.0,0.3814734770467392,0.15956984327275484,0.2455652523455415,0.18998947881154327,0.14614661146809615,0.09615125578754585,0.3221474015872732,0.418298657374819
2021-02-24,2021-02-25,VN:SJS,0.25,-0.02676399026763987,4,0.0,0.3199619802841102,0.12985527017025458,0.2562385740226826,0.188516120869306,0.1493993666157268,0.09829128313903623,0.3075546553532484,0.4058459384922846
2021-02-24,2021-02-25,VN:DXG,0.25,0.00628930817610085,4,1.0,0.3123157718205136,0.12566511534387487,0.2558930237285273,0.19254350805687537,0.14919789246617177,0.09522569995541647,0.30713987579300905,0.4023655757484255
