,value
Start Index,2018-01-02 00:00:00
End Index,2026-05-29 00:00:00
Total Duration,2096 days 00:00:00
Start Value,100000000.0
Min Value,98349698.62394395
Max Value,1287315595.5598104
End Value,890209968.9825311
Total Return [%],790.209968982531
Benchmark Return [%],239.05650777897915
Position Coverage [%],64.07442748091603
Max Gross Exposure [%],100.0
Max Drawdown [%],44.753265876676444
Max Drawdown Duration,291 days 00:00:00
Total Orders,450
Total Fees Paid,85743331.13586238
Total Trades,226
Win Rate [%],56.502242152466366
Best Trade [%],372.6775975643509
Worst Trade [%],-44.74220264317181
Avg Winning Trade [%],14.048719105163205
Avg Losing Trade [%],-8.41028540345571
Avg Winning Trade Duration,17 days 09:31:25.714285714
Avg Losing Trade Duration,12 days 08:54:25.979381443
Profit Factor,1.7210379673989489
Expectancy,3676245.956221965
Sharpe Ratio,1.3776460820694745
Calmar Ratio,1.0353250910194178
Omega Ratio,1.2679594696045042
Sortino Ratio,2.0356966507793643
