prediction_date,execution_date,symbol,target_weight,realized_forward_return,predicted_class,realized_class,score,class_0_prob,class_1_prob,class_2_prob,class_3_prob,class_4_prob,class_3_4_prob
2021-01-21,2021-01-22,VN:PVT,0.2,-0.1324324324324323,0,0.0,-0.4487510901409726,0.2975814529664273,0.292986680083473,0.10694030273928111,0.16558463254628208,0.13690693166453646,0.3024915642108186
2021-01-21,2021-01-22,VN:EVF,0.2,-0.1941747572815533,0,0.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358
2021-01-21,2021-01-22,VN:FTS,0.2,-0.1349702846418518,0,0.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358
2021-01-21,2021-01-22,VN:HCM,0.2,-0.12856383920665837,0,0.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358
2021-01-21,2021-01-22,VN:HSG,0.2,-0.10474631751227503,0,0.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358
2021-02-18,2021-02-19,VN:HDC,0.2,-0.011286681715575453,0,1.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358
2021-02-18,2021-02-19,VN:LPB,0.2,0.07179743461602528,0,3.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358
2021-02-18,2021-02-19,VN:PVT,0.2,0.04748603351955305,0,2.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358
2021-02-18,2021-02-19,VN:VIX,0.2,0.5403036468930973,0,4.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358
2021-02-18,2021-02-19,VN:VPB,0.2,0.0012101959004613416,0,1.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358
2021-03-11,2021-03-12,VN:DCM,0.2,0.03857566765578646,0,2.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358
2021-03-11,2021-03-12,VN:HDG,0.2,-0.06961715460687345,0,0.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358
2021-03-11,2021-03-12,VN:HSG,0.2,-0.028100584334580736,0,0.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358
2021-03-11,2021-03-12,VN:LPB,0.2,0.021742435760985224,0,1.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358
2021-03-11,2021-03-12,VN:NKG,0.2,0.022727272727272707,0,1.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358
2021-04-01,2021-04-02,VN:DCM,0.2,-0.03867403314917128,0,0.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358
2021-04-01,2021-04-02,VN:DXG,0.2,0.04268292682926811,0,2.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358
2021-04-01,2021-04-02,VN:EVF,0.2,-0.0491803278688524,0,0.0,-0.4477165623818804,0.2966864495481983,0.29210550463514046,0.10994138151232545,0.16477148725901505,0.13649517704532077,0.3012666643043358
