,value
Start Index,2018-01-02 00:00:00
End Index,2026-05-29 00:00:00
Total Duration,2096 days 00:00:00
Start Value,100000000.0
Min Value,98475628.2117412
Max Value,3206228463.2001896
End Value,3072884944.3463507
Total Return [%],2972.8849443463505
Benchmark Return [%],235.91964180561064
Position Coverage [%],63.69274809160306
Max Gross Exposure [%],100.0
Max Drawdown [%],28.842767659688285
Max Drawdown Duration,168 days 00:00:00
Total Orders,463
Total Fees Paid,171076023.31786183
Total Trades,232
Win Rate [%],53.7117903930131
Best Trade [%],403.89317990705916
Worst Trade [%],-28.6680131147541
Avg Winning Trade [%],16.409174190737666
Avg Losing Trade [%],-6.500694471397756
Avg Winning Trade Duration,15 days 05:16:05.853658536
Avg Losing Trade Duration,12 days 20:09:03.396226415
Profit Factor,2.8783042691198446
Expectancy,12935393.712900832
Sharpe Ratio,2.0604785708597584
Calmar Ratio,2.828078008567026
Omega Ratio,1.4386116854528104
Sortino Ratio,3.1236634549637725
