date,symbol,realized_forward_return,predicted_class,realized_class,score,class_0_prob,class_1_prob,class_2_prob,class_3_prob,class_4_prob,class_3_4_prob,score_prob,target_weight
2021-01-08,VN:LPB,-0.014243529616119521,4,1.0,0.4027620017940104,0.2303246890056832,0.19771711822922705,0.14911420865527106,0.10370172714742612,0.31914225696239257,0.4228439841098187,0.1703054894866253,0.25
2021-01-08,VN:VIX,0.01644019459822177,4,2.0,0.3875127836131511,0.2275337593818736,0.20038390308904575,0.15442027266636693,0.10501099456109847,0.3126510703016152,0.4176620648627137,0.16184938936456664,0.25
2021-01-08,VN:FTS,-0.052532538811353335,4,0.0,0.3660495219361215,0.23427189013839178,0.19681455951874854,0.15166966052093878,0.11016190386705459,0.30708198595486635,0.41724388982192095,0.15273192640008193,0.25
2021-01-18,VN:EVF,-0.21100917431192667,4,0.0,0.3916265219449997,0.24510784447193146,0.18682928383350372,0.14763104915618896,0.09631198644638062,0.32411983609199524,0.42043182253837585,0.16465225237570147,0.25
2021-01-18,VN:LPB,-0.10158835208471206,4,0.0,0.3909921872991253,0.24536342004822864,0.18702409464776162,0.1477849875470628,0.09536968561374823,0.3244578121431987,0.41982749775694694,0.16414927163630733,0.25
2021-01-18,VN:DXG,0.14876033057851212,4,4.0,0.3601861834456703,0.24826056330425428,0.18923238704977977,0.14952997306250135,0.09649576632321752,0.31648131026024706,0.4129770765834646,0.14874863706514843,0.25
2021-01-26,VN:NKG,-0.07647058823529407,4,0.0,0.3238736886363281,0.25714433576381707,0.18602471330798734,0.1499274693418662,0.09826168564351925,0.3086417959428101,0.4069034815863294,0.1317853315003287,0.25
2021-01-26,VN:DXG,0.1045454545454545,4,4.0,0.3199619802841102,0.2562385740226826,0.188516120869306,0.1493993666157268,0.09829128313903623,0.3075546553532484,0.4058459384922846,0.12985527017025458,0.25
2021-01-26,VN:HDG,-0.02243192235103808,4,0.0,0.3143268576687064,0.25514468360584464,0.19198042011275573,0.14876156934528373,0.0978716679075981,0.30624165902851774,0.40411332693611585,0.1270236721978759,0.25
2021-02-03,VN:VIB,0.17102058888642913,4,4.0,0.28517342571298343,0.2496366817477098,0.20535893891274137,0.1501768093569339,0.09733849091335006,0.2974890790692648,0.39482756998261487,0.11259433069787499,0.25
2021-02-03,VN:KBC,-0.006369426751592466,4,1.0,0.2401431217842966,0.27014611177690745,0.19000374488546495,0.15057829583355398,0.09868822614432224,0.2905836213597514,0.3892718475040736,0.09348095668236889,0.25
2021-02-03,VN:NKG,0.1573770491803279,4,4.0,0.2448840717572885,0.26307729474627883,0.19464514094543028,0.15338667079925547,0.10049443916591494,0.2883964543431205,0.38889089350903544,0.09523318547182268,0.25
2021-02-18,VN:VIB,0.1522044088176353,4,4.0,0.3875364834459045,0.24677429706339377,0.18637072383034484,0.14686616421637674,0.0962553216333086,0.3237334932565761,0.4199888148898847,0.16276098840903885,0.25
2021-02-18,VN:SJS,-0.0176322418136019,4,1.0,0.32412853333449765,0.25704741669481557,0.1859546019580558,0.14987096302115144,0.09860154314787345,0.3085254751781037,0.40712701832597714,0.13196148333084612,0.25
2021-02-18,VN:VPB,0.0012101959004613416,4,1.0,0.3185521310136357,0.25596491265192367,0.1893828269655355,0.14923979786753053,0.09818630213100618,0.30722616038400413,0.4054124625150103,0.12914500387364225,0.25
2021-02-26,VN:VIB,0.09575574250874364,4,4.0,0.3933108733599438,0.24780126852241302,0.18298472055081902,0.14747737018442073,0.0966558956357264,0.3250807451066208,0.42173664074234724,0.16587360649826144,0.25
2021-02-26,VN:SJS,-0.012376237623762387,4,1.0,0.3143268576687064,0.25514468360584464,0.19198042011275573,0.14876156934528373,0.0978716679075981,0.30624165902851774,0.40411332693611585,0.1270236721978759,0.25
2021-02-26,VN:NKG,0.24362606232294626,4,4.0,0.30769485751021763,0.25431617904963955,0.19206653392265338,0.151354669396917,0.09919705168011,0.30306556595068,0.40226261763079,0.1237741388135931,0.25
2021-03-08,VN:DCM,0.014925373134328401,4,1.0,0.3875364834459045,0.24677429706339377,0.18637072383034484,0.14686616421637674,0.0962553216333086,0.3237334932565761,0.4199888148898847,0.16276098840903885,0.25
2021-03-08,VN:PTB,0.006330275229357696,4,1.0,0.3143268576687064,0.25514468360584464,0.19198042011275573,0.14876156934528373,0.0978716679075981,0.30624165902851774,0.40411332693611585,0.1270236721978759,0.25
2021-03-08,VN:PVD,-0.14980544747081703,4,0.0,0.3123157718205136,0.2558930237285273,0.19254350805687537,0.14919789246617177,0.09522569995541647,0.30713987579300905,0.4023655757484255,0.12566511534387487,0.25
